,Geld - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Geld - 2. Wie glaubwürdig fanden Sie den Text ?,Geld - 3. Wie klar und verständlich war der Text?,Geld - 4. Wie interessant fanden Sie den Text?,Geld - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Geld - 6. Wie sachlich fanden sie den Text?,"Geld - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Geld - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Geld - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Gesundheit - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Gesundheit - 2. Wie glaubwürdig fanden Sie den Text ?,Gesundheit - 3. Wie klar und verständlich war der Text?,Gesundheit - 4. Wie interessant fanden Sie den Text?,Gesundheit - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Gesundheit - 6. Wie sachlich fanden sie den Text?,"Gesundheit - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Gesundheit - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Gesundheit - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Sport - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Sport - 2. Wie glaubwürdig fanden Sie den Text ?,Sport - 3. Wie klar und verständlich war der Text?,Sport - 4. Wie interessant fanden Sie den Text?,Sport - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Sport - 6. Wie sachlich fanden sie den Text?,"Sport - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Sport - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Sport - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",Wissen - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,Wissen - 2. Wie glaubwürdig fanden Sie den Text ?,Wissen - 3. Wie klar und verständlich war der Text?,Wissen - 4. Wie interessant fanden Sie den Text?,Wissen - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,Wissen - 6. Wie sachlich fanden sie den Text?,"Wissen - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",Wissen - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,"Wissen - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?"
Geld - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,1.0,0.11461022580001003,0.5151223396475422,0.5444952781937102,0.17920485951201026,-0.04784851956844072,0.0969659765738605,0.2708130396122446,-0.15752361136687645,0.3558957019077056,0.1700674142525413,0.14202378536442095,0.17836587317655592,0.4471812784156234,0.07292721824282573,0.10854479329185934,0.2759249796827622,0.3533002087171596,0.6051315802157139,0.44972584456879217,0.3588331210842629,0.3594327621687376,0.41672762819285697,0.20354095580281847,0.40601717861026765,0.348156886416301,0.07091043697830354,-0.0026154640744246887,0.1254980229311855,0.2984865407329134,0.2664704776533234,0.301653831400781,0.13775062995114207,0.0026832611802924235,0.26435203674659224,0.04832241531926971
Geld - 2. Wie glaubwürdig fanden Sie den Text ?,0.11461022580001003,1.0,0.41043704989853746,0.365828691819015,0.7986904993178386,0.5369548480030418,0.6900784354824765,0.7343513329697889,-0.037208512296850786,0.01038933392069355,0.38466109158277056,0.6560676501728245,0.5433001585711039,0.6134195887583027,0.5791697546403102,0.5246257407968763,0.6349434673986771,-0.2591926386023037,0.06360373666064385,0.3185412720583557,-0.3653500266601723,-0.07441965226710456,0.39174375346193385,0.40703627465399567,0.35869116493844116,0.39490049209891653,0.428007208919753,-0.22581604148293444,0.0939796985116996,0.19580792162831534,-0.2529586183225642,0.5724810592736623,-0.10438657662252095,0.2950036875691421,0.6832850333859645,-0.4237426563633888
Geld - 3. Wie klar und verständlich war der Text?,0.5151223396475422,0.41043704989853746,1.0,0.5547022876617151,0.3643294394788416,0.39849295194763235,0.33932569732422135,0.3764808455086179,-0.26868795725268446,0.4121188039483688,0.29367955127972756,0.44923245969588166,0.17542343589647758,0.5517154666897587,0.306897452761713,0.15543407021916436,0.33033943334830584,-0.3050311179549785,0.07952919571845332,0.20001384226738,-0.19070431192513254,-0.06664038372984127,0.26352596250047045,0.41110015488515483,0.40969742284409255,0.2725015705333686,0.1374921815912714,0.1284101000741581,0.25720954164368304,0.11962972091091575,0.08845265347541208,0.5228181094975214,0.26150545552401794,-0.09002144490203418,0.45588463875722973,-0.5458210640902886
Geld - 4. Wie interessant fanden Sie den Text?,0.5444952781937102,0.365828691819015,0.5547022876617151,1.0,0.5183831521479122,0.3846520485368299,0.49157615487822576,0.5942329850041363,-0.17878438293414495,0.3092169770239992,0.14007086005827038,0.0221407113064082,0.10638727159769619,0.4184715322200938,-0.020132505286997917,0.18353684535837153,0.2404807056960833,-0.28868264284978373,0.565461671324834,0.2889691692541703,0.263786987547222,0.46759479485098393,0.32759492148386526,0.2958615553692369,0.46832332971558427,0.1755111120526444,0.15103114091279193,-0.23249456478889496,0.2175858020322649,0.34255307908763194,0.058294917900071415,0.2903885828040994,0.22786287469590208,0.2582251296622721,0.2669575422757611,-0.33836593835775464
Geld - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,0.17920485951201026,0.7986904993178386,0.3643294394788416,0.5183831521479122,1.0,0.6162656194201046,0.6716109891557143,0.7781818684859289,-0.22658616734804116,0.14591003982491865,0.3099413692012551,0.31233746330215245,0.3503115874677264,0.6063155130235904,0.321413752528521,0.5528313107665646,0.6524840928105686,-0.2663529626574027,0.21269962137654744,0.19171380897819193,-0.10625745304107574,0.198936350550107,0.294072938468889,0.24970099336630366,0.22827698141401448,0.1932427677704847,0.47722168334634796,-0.22148110218915384,0.1392490209454914,0.18274799904859457,-0.168483988103745,0.4263015434462894,0.03751529866351488,0.4333208321601522,0.5757600212252445,-0.4814127908564018
Geld - 6. Wie sachlich fanden sie den Text?,-0.04784851956844072,0.5369548480030418,0.39849295194763235,0.3846520485368299,0.6162656194201046,1.0,0.7927883243375133,0.5733970523882207,-0.1939850724497464,0.2184781382595858,-0.07583502205671347,0.1455647601909501,0.20413970288183259,0.34968930309011753,0.14033534984695278,0.39377681635084405,0.36600841432976583,-0.686773437176115,0.07226052189803833,0.14907581993127994,-0.08290002595054158,0.2715695122800053,0.37027229777660664,0.5296251598494016,0.46525134192399653,0.3336586953759785,0.05549865380991355,-0.08327313126547056,-0.17407584608472837,-0.47442610405112434,-0.44144354928488894,0.07360648911424877,0.18083028528040335,0.11040405212838934,0.21581130468714832,-0.5513630752007147
"Geld - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",0.0969659765738605,0.6900784354824765,0.33932569732422135,0.49157615487822576,0.6716109891557143,0.7927883243375133,1.0,0.676665123482979,0.1534011498167665,0.015896619545868927,0.20733582861790592,0.22799141074157023,0.4828865289161666,0.4014440048158118,0.321797951467419,0.5883424606184181,0.3946803536337552,-0.509615778391333,0.17566987904801745,0.37921302853198935,0.1924922362608954,0.267926568413464,0.5388253390493309,0.6765897439953967,0.6058122273097911,0.45317507329819406,0.27909728778591564,-0.2746751327867679,-0.015048568206138358,-0.15414398960850967,-0.42109556449968094,0.2729402386824313,0.13877389087146244,0.26968179473713577,0.3525482230824582,-0.3917202478693981
Geld - 8. Wie sehr vertrauen Sie den im Text präsentierten Informationen?,0.2708130396122446,0.7343513329697889,0.3764808455086179,0.5942329850041363,0.7781818684859289,0.5733970523882207,0.676665123482979,1.0,-0.2648809523809524,0.16080038749374462,0.09440125506673572,0.4050494576667988,0.300235711515989,0.4721813569052434,0.2236067977499788,0.3822185100165786,0.48192548406978075,-0.2183078993159509,0.16607540435645973,0.12537147184419967,-0.09180491401870956,0.07563292261344165,0.2110067523241133,0.20111678010946418,0.33723171936121793,0.10152910775842673,0.10236015631575213,-0.23974788071226494,0.2737636396935337,0.21654489921507825,-0.006744451598562939,0.4628866549872624,0.0813054544484989,0.32575038547963786,0.5897525802170109,-0.4486695276219933
"Geld - 9. Wie wahrscheinlich ist es, dass der Text missverstanden werden könnte?",-0.15752361136687645,-0.037208512296850786,-0.26868795725268446,-0.17878438293414495,-0.22658616734804116,-0.1939850724497464,0.1534011498167665,-0.2648809523809524,1.0,-0.6310925506952725,0.2643235141868602,0.05123155195785587,0.2024577978038853,-0.10032666255370958,0.1304372986874878,0.12827287864501954,-0.00993660791896462,0.010662168464759633,0.16674059289193274,0.38943226419004145,0.32752023379647754,0.03841672259730367,0.2857234290103091,0.24354728338705217,0.04192719523438929,0.41771975763467,0.27650535732047343,-0.0681652511014663,-0.1798119144128303,-0.1167357947251095,-0.4509147640182001,-0.21160532799417714,-0.4758656901054997,-0.16454636677740178,-0.23096221737562753,0.48661850830713965
Gesundheit - 1. Wie viel Vorwissen haben sie zu dem Thema des Textes?,0.3558957019077056,0.01038933392069355,0.4121188039483688,0.3092169770239992,0.14591003982491865,0.2184781382595858,0.015896619545868927,0.16080038749374462,-0.6310925506952725,1.0,-0.045186257546796504,0.14100482110122467,0.1596792351461909,0.26994478660975396,0.14716898863953545,0.010164073925448724,0.2437589825245002,-0.15004498196037439,-0.03714669245635151,-0.20618996306203377,-0.18171226424235346,0.002011254286474669,-0.14647514256688518,0.06120278685584542,0.05673334716632305,-0.21383158303427377,-0.13362512209313732,0.21048316510486856,0.09790355801805914,-0.06649356389555665,0.34058671751685976,0.18582961170806406,0.29719047598182396,-0.30323381647836906,0.15696404428854796,-0.2129357189960923
Gesundheit - 2. Wie glaubwürdig fanden Sie den Text ?,0.1700674142525413,0.38466109158277056,0.29367955127972756,0.14007086005827038,0.3099413692012551,-0.07583502205671347,0.20733582861790592,0.09440125506673572,0.2643235141868602,-0.045186257546796504,1.0,0.4913703968699701,0.5156837998678099,0.7216299702886834,0.6360773721180931,0.7129326651181085,0.6318558350308966,-0.2006602428269776,-0.11627891434848375,0.21364097182887398,-0.20537260580988775,-0.3515975930459645,0.13292122068108364,-0.027359491371599712,-0.0699040133782225,0.17175379555176803,0.2511189814602844,-0.1455545810044423,-0.08365019011406867,0.22710027402948754,0.016299128208414292,0.14975412596887017,-0.22477107946669592,0.0804629267395735,0.12132958114083305,0.2088711776601682
Gesundheit - 3. Wie klar und verständlich war der Text?,0.14202378536442095,0.6560676501728245,0.44923245969588166,0.0221407113064082,0.31233746330215245,0.1455647601909501,0.22799141074157023,0.4050494576667988,0.05123155195785587,0.14100482110122467,0.4913703968699701,1.0,0.6732518374407707,0.5674906513202165,0.8047645602133136,0.31703619689320633,0.647534298694071,-0.1468291608499268,-0.3272912683259437,0.28458720327074943,-0.5628715894429597,-0.5928431767030404,0.2004242449375911,0.13101170568190354,0.12144434858514411,0.34954038062903214,0.10043187967749653,0.031635328643697794,0.08705381046908937,0.12810350808059873,0.0331707573599056,0.5489501506806078,-0.3998788429473949,-0.2987369108769782,0.4844648992891502,-0.050009279926621845
Gesundheit - 4. Wie interessant fanden Sie den Text?,0.17836587317655592,0.5433001585711039,0.17542343589647758,0.10638727159769619,0.3503115874677264,0.20413970288183259,0.4828865289161666,0.300235711515989,0.2024577978038853,0.1596792351461909,0.5156837998678099,0.6732518374407707,1.0,0.46767764992001887,0.8539745471032908,0.514547484710824,0.5991338679682688,-0.23572339487306515,-0.15357574271529548,0.4951053421626271,-0.006576101679733699,-0.18282167066039065,0.4647107327043403,0.22709717397204035,0.19571009557673222,0.46641979532847316,0.2320131087585392,-0.1694446357777004,-0.038919532065495255,0.11189658780458754,0.0461776051191682,0.4023424596523077,-0.2568448190857903,-0.07790861866127326,0.29307274847974285,0.14372916400539124
Gesundheit - 5. Wie viel Vertrauen haben Sie in den Inhalt des Textes?,0.4471812784156234,0.6134195887583027,0.5517154666897587,0.4184715322200938,0.6063155130235904,0.34968930309011753,0.4014440048158118,0.4721813569052434,-0.10032666255370958,0.26994478660975396,0.7216299702886834,0.5674906513202165,0.46767764992001887,1.0,0.6424202708101807,0.6491826437387505,0.9084538961068641,-0.2763715243722496,0.16647634899216235,0.20031139491910466,-0.27880373797488367,-0.05794471738355683,0.2604928343162517,0.09795927433876593,0.1455772772485811,0.29039578189933735,0.15737064219923985,-0.048980867806052444,-0.10286039665584812,0.09181982745294946,-0.12573356048561718,0.2684524285098589,-0.14597397625324995,0.003676868194962081,0.3375723910727686,-0.05712763541231461
Gesundheit - 6. Wie sachlich fanden sie den Text?,0.07292721824282573,0.5791697546403102,0.306897452761713,-0.020132505286997917,0.321413752528521,0.14033534984695278,0.321797951467419,0.2236067977499788,0.1304372986874878,0.14716898863953545,0.6360773721180931,0.8047645602133136,0.8539745471032908,0.6424202708101807,1.0,0.4205502173067995,0.7198933570311857,-0.2469962147984805,-0.31235542446600717,0.25110718964957895,-0.32623198029092576,-0.4115262003315488,0.2468698046761278,0.10721581789843065,0.04543368996115377,0.32691742076555047,0.2644884871310082,-0.09832722052879748,-0.005629003293080653,0.13521311130983357,-0.03016210449068732,0.4460714488094058,-0.348183207854064,-0.22536132770849107,0.3478710508077302,0.04547333997486682
"Gesundheit - 7. Haben Sie den Eindruck, dass der Autor Fachkompetenz besitzt?",0.10854479329185934,0.5246257407968763,0.15543407021916436,0.18353684535837153,0.5528313107665646,0.39377681635084405,0.5883424606184181,0.3822185100165786,0.12827287864501954,0.010164073925448724,0.7129326651181085,0.31703619689320633,0.514547484710824,0.6491826437387505,0.4205502173067995,1.0,0.63950335971248,-0.3912267018380283,-0.02079178499875198,0.2483924170603685,-0.07370157672566262,-0.08443059920745438,0.3389840634040115,0.23116922810738136,0.17915519589653425,0.28384039709797304,0.06021963856788194,-0.08718731113715747,-0.26208064553184984,-0.19275227218986846,-0.13552148009206194,0.03130818316548536,-0.015784863317092515,0.26205277974291663,0.14805540393364783,0.11992487718625455
